,Iter,best_vals,current_vals
0,0.0,-8.6,-2.8
1,1.0,-8.6,-2.0
2,2.0,-8.6,-7.4
3,3.0,-8.6,-2.4
4,4.0,-8.6,-8.1
5,5.0,-9.7,-9.7
6,6.0,-9.7,-4.2
7,7.0,-9.7,-0.6
8,8.0,-9.7,-2.6
9,9.0,-9.7,-4.0
10,10.0,-9.7,-2.9
11,11.0,-9.7,-5.4
12,12.0,-9.7,-1.8
13,13.0,-9.7,-2.8
14,14.0,-9.7,-1.3
15,15.0,-9.7,0.0
16,16.0,-9.7,-4.4
17,17.0,-9.7,-4.2
18,18.0,-9.7,-8.9
19,19.0,-9.7,-2.4
20,20.0,-9.7,-5.6
21,21.0,-9.7,-2.7
22,22.0,-9.7,-2.6
23,23.0,-9.7,-2.8
24,24.0,-9.7,-9.4
25,25.0,-9.7,-3.6
26,26.0,-9.7,-8.2
27,27.0,-9.7,-1.1
28,28.0,-9.7,-3.9
29,29.0,-9.7,-7.3
30,30.0,-9.7,-5.0
31,31.0,-9.7,-9.3
32,32.0,-9.7,-2.8
33,33.0,-9.7,0.0
34,34.0,-9.7,0.0
35,35.0,-9.7,-0.3
36,36.0,-9.7,-2.1
37,37.0,-9.7,-2.9
38,38.0,-9.7,-6.1
39,39.0,-9.7,0.0
40,40.0,-9.7,-3.8
41,41.0,-9.7,-7.0
42,42.0,-12.1,-12.1
43,43.0,-12.1,-3.6
44,44.0,-12.1,-2.6
45,45.0,-12.1,-4.7
46,46.0,-12.1,-3.6
47,47.0,-12.1,-4.2
48,48.0,-12.1,-5.1
49,49.0,-12.1,-3.6
50,50.0,-12.1,-0.7
51,51.0,-12.1,-5.5
52,52.0,-12.1,-6.2
53,53.0,-12.1,-4.9
54,54.0,-12.1,-10.8
55,55.0,-12.1,-3.9
56,56.0,-12.1,-5.7
57,57.0,-12.1,-4.5
58,58.0,-12.1,-4.5
59,59.0,-12.1,-9.8
60,60.0,-12.1,-10.4
61,61.0,-12.1,-1.1
62,62.0,-12.1,-2.5
63,63.0,-12.1,-4.1
64,64.0,-12.1,-8.3
65,65.0,-12.1,-4.7
66,66.0,-12.1,-4.1
67,67.0,-12.1,-8.4
68,68.0,-12.1,-5.2
69,69.0,-12.1,-4.8
70,70.0,-12.1,-5.7
71,71.0,-12.1,-6.8
72,72.0,-12.5,-12.5
73,73.0,-12.5,-5.6
74,74.0,-12.5,-0.9
75,75.0,-12.5,-9.0
76,76.0,-12.5,-7.2
77,77.0,-12.5,-9.8
78,78.0,-12.5,-8.3
79,79.0,-12.5,-8.9
80,80.0,-12.5,-10.2
81,81.0,-13.5,-13.5
82,82.0,-16.4,-16.4
83,83.0,-16.4,-9.3
84,84.0,-16.4,-2.1
85,85.0,-16.4,-3.6
86,86.0,-16.4,-6.0
87,87.0,-16.4,-7.9
88,88.0,-16.4,-2.8
89,89.0,-16.4,-6.1
90,90.0,-16.4,-5.0
91,91.0,-16.4,-6.6
92,92.0,-16.4,-14.0
93,93.0,-16.4,-6.5
94,94.0,-16.4,-3.6
95,95.0,-16.4,-5.4
96,96.0,-16.4,-11.0
97,97.0,-16.4,-6.3
98,98.0,-16.4,-14.5
99,99.0,-16.4,-14.0
100,100.0,-16.4,-4.7
101,101.0,-16.4,-16.3
102,102.0,-16.4,-14.2
103,103.0,-16.4,-12.7
104,104.0,-16.4,-10.8
105,105.0,-16.4,-16.4
106,106.0,-16.4,-8.4
107,107.0,-16.4,-15.0
108,108.0,-16.4,-2.8
109,109.0,-16.4,-1.5
110,110.0,-16.4,-2.2
111,111.0,-16.4,-3.7
112,112.0,-16.4,-14.3
113,113.0,-16.4,-7.0
114,114.0,-16.4,-4.5
115,115.0,-16.4,-1.3
116,116.0,-16.4,-15.4
117,117.0,-16.4,-4.0
118,118.0,-16.4,0.0
119,119.0,-16.4,-7.6
120,120.0,-16.4,-2.4
121,121.0,-16.4,-9.1
122,122.0,-16.4,-3.7
123,123.0,-16.4,-3.2
124,124.0,-16.4,-6.1
125,125.0,-16.4,-12.2
126,126.0,-17.2,-17.2
127,127.0,-17.2,-12.8
128,128.0,-17.2,-1.1
129,129.0,-17.2,-3.3
130,130.0,-20.4,-20.4
131,131.0,-20.4,-6.1
132,132.0,-20.4,-5.1
133,133.0,-20.4,-2.2
134,134.0,-20.4,-3.0
135,135.0,-20.4,-5.3
136,136.0,-20.4,-2.1
137,137.0,-20.4,-5.2
138,138.0,-20.4,-6.8
139,139.0,-20.4,-0.8
140,140.0,-20.4,-3.8
141,141.0,-20.4,-2.0
142,142.0,-20.4,-2.9
143,143.0,-20.4,-10.3
144,144.0,-20.4,-12.1
145,145.0,-24.7,-24.7
146,146.0,-24.7,-0.1
147,147.0,-24.7,-3.8
148,148.0,-24.7,-8.0
149,149.0,-24.7,-10.8
150,150.0,-24.7,-3.1
151,151.0,-24.7,-0.3
152,152.0,-24.7,-3.5
153,153.0,-24.7,-5.0
154,154.0,-24.7,-4.5
155,155.0,-24.7,-6.4
156,156.0,-24.7,-2.9
157,157.0,-24.7,-3.2
158,158.0,-24.7,-2.7
159,159.0,-24.7,-3.2
160,160.0,-24.7,-8.1
161,161.0,-24.7,0.0
162,162.0,-24.7,-1.6
163,163.0,-24.7,-1.8
164,164.0,-24.7,-3.6
165,165.0,-24.7,-2.5
166,166.0,-24.7,-3.9
167,167.0,-24.7,-2.4
168,168.0,-24.7,-3.8
169,169.0,-24.7,-6.4
170,170.0,-24.7,-3.3
171,171.0,-24.7,-4.5
172,172.0,-24.7,-4.8
173,173.0,-24.7,-3.1
174,174.0,-24.7,-9.6
175,175.0,-24.7,-3.0
176,176.0,-24.7,-2.9
177,177.0,-24.7,-8.7
178,178.0,-24.7,-1.4
179,179.0,-24.7,-3.0
180,180.0,-24.7,-1.7
181,181.0,-24.7,-6.3
182,182.0,-24.7,-5.2
183,183.0,-24.7,-2.2
184,184.0,-24.7,-4.5
185,185.0,-24.7,-3.8
186,186.0,-24.7,-4.5
187,187.0,-24.7,-4.0
188,188.0,-24.7,-1.7
189,189.0,-24.7,-0.6
190,190.0,-24.7,-3.9
191,191.0,-24.7,-10.9
192,192.0,-24.7,-2.9
193,193.0,-24.7,-3.5
194,194.0,-24.7,-4.5
195,195.0,-24.7,-2.8
196,196.0,-24.7,0.0
197,197.0,-24.7,-4.9
198,198.0,-24.7,-8.8
199,199.0,-24.7,-1.7
200,200.0,-24.7,-3.7
201,201.0,-24.7,-2.1
202,202.0,-24.7,-6.3
203,203.0,-24.7,-3.2
204,204.0,-24.7,0.0
205,205.0,-24.7,0.0
206,206.0,-24.7,0.0
207,207.0,-24.7,-3.2
208,208.0,-24.7,-8.5
209,209.0,-24.7,-4.1
210,210.0,-24.7,-5.8
211,211.0,-24.7,-4.0
212,212.0,-24.7,-2.1
213,213.0,-24.7,-4.1
214,214.0,-24.7,-3.5
215,215.0,-24.7,-3.4
216,216.0,-24.7,-7.2
217,217.0,-24.7,-2.6
218,218.0,-24.7,-5.9
219,219.0,-24.7,-5.3
220,220.0,-24.7,-6.5
221,221.0,-24.7,-5.0
222,222.0,-24.7,-5.1
223,223.0,-24.7,-5.0
224,224.0,-24.7,-2.2
225,225.0,-24.7,-2.9
226,226.0,-24.7,-0.8
227,227.0,-24.7,-1.3
228,228.0,-24.7,-9.2
229,229.0,-24.7,-0.9
230,230.0,-24.7,0.0
231,231.0,-24.7,-8.0
232,232.0,-24.7,-3.3
233,233.0,-24.7,-3.4
234,234.0,-24.7,-1.8
235,235.0,-24.7,0.0
236,236.0,-24.7,-3.5
237,237.0,-24.7,-3.8
238,238.0,-24.7,-1.6
239,239.0,-24.7,-0.3
240,240.0,-24.7,-0.8
241,241.0,-24.7,-2.5
242,242.0,-24.7,-1.6
243,243.0,-24.7,-3.3
244,244.0,-24.7,-3.8
245,245.0,-24.7,-3.2
246,246.0,-24.7,-3.1
247,247.0,-24.7,-5.2
248,248.0,-24.7,-6.4
249,249.0,-24.7,-1.4
250,250.0,-24.7,-4.6
251,251.0,-24.7,-6.6
252,252.0,-24.7,-4.5
253,253.0,-24.7,-1.8
254,254.0,-24.7,-0.5
255,255.0,-24.7,0.0
256,256.0,-24.7,-0.5
257,257.0,-24.7,-4.3
258,258.0,-24.7,-2.5
259,259.0,-24.7,-6.7
260,260.0,-24.7,-0.6
261,261.0,-24.7,-0.5
262,262.0,-24.7,0.0
263,263.0,-24.7,-5.5
264,264.0,-24.7,-2.4
265,265.0,-24.7,-3.5
266,266.0,-24.7,-6.8
267,267.0,-24.7,-6.7
268,268.0,-24.7,-6.6
269,269.0,-24.7,0.0
270,270.0,-24.7,-3.5
271,271.0,-24.7,-8.1
272,272.0,-24.7,-4.8
273,273.0,-24.7,-3.3
274,274.0,-24.7,-4.2
275,275.0,-24.7,-3.7
276,276.0,-24.7,0.0
277,277.0,-24.7,-1.0
278,278.0,-24.7,-2.3
279,279.0,-24.7,-5.3
280,280.0,-24.7,-5.8
281,281.0,-24.7,0.0
282,282.0,-24.7,-3.9
283,283.0,-24.7,-4.0
284,284.0,-24.7,-1.8
285,285.0,-24.7,-0.8
286,286.0,-24.7,-3.2
287,287.0,-24.7,-6.8
288,288.0,-24.7,-0.5
289,289.0,-24.7,-5.9
290,290.0,-24.7,-2.6
291,291.0,-24.7,-3.4
292,292.0,-24.7,-4.5
293,293.0,-24.7,-5.4
294,294.0,-24.7,-1.6
295,295.0,-24.7,-3.1
296,296.0,-24.7,-2.2
297,297.0,-24.7,-3.4
298,298.0,-24.7,-4.5
299,299.0,-24.7,-9.4
300,300.0,-24.7,-7.5
